"zone_id","week","n_outbreak","species","lag","lag_abd_pt","lag_mean_grd","lag_max_grd"
337,1,0,"buffle",-1,NA,NA,NA
337,1,0,"buffle",0,0,0,0
337,1,0,"lessca",-3,NA,NA,NA
337,1,0,"lessca",-2,NA,NA,NA
337,1,0,"lessca",-1,NA,NA,NA
337,1,0,"lessca",0,0,0,0
337,1,0,"rebmer",-3,NA,NA,NA
337,1,0,"rebmer",-2,NA,NA,NA
337,1,0,"rebmer",-1,NA,NA,NA
337,1,0,"rebmer",0,0,0,0
337,1,0,"gnwtea",-3,NA,NA,NA
337,1,0,"gnwtea",-2,NA,NA,NA
337,1,0,"gnwtea",-1,NA,NA,NA
337,1,0,"gnwtea",0,0,0,0
337,1,0,"gadwal",-3,NA,NA,NA
337,1,0,"gadwal",-2,NA,NA,NA
337,1,0,"gadwal",-1,NA,NA,NA
337,1,0,"gadwal",0,0,0,0
337,1,0,"ambduc",-3,NA,NA,NA
337,1,0,"ambduc",-2,NA,NA,NA
337,1,0,"ambduc",-1,NA,NA,NA
337,1,0,"ambduc",0,0,0,0
337,1,0,"rudduc",-3,NA,NA,NA
337,1,0,"rudduc",-2,NA,NA,NA
337,1,0,"rudduc",-1,NA,NA,NA
337,1,0,"rudduc",0,0,0,0
337,1,0,"rethaw",-3,NA,NA,NA
337,1,0,"rethaw",-2,NA,NA,NA
337,1,0,"rethaw",-1,NA,NA,NA
337,1,0,"rethaw",0,0.211688301731225,0.214914231300354,0.248039066791534
337,1,0,"truswa",-3,NA,NA,NA
337,1,0,"truswa",-2,NA,NA,NA
337,1,0,"truswa",-1,NA,NA,NA
337,1,0,"truswa",0,0,0,0
337,1,0,"grhowl",-3,NA,NA,NA
337,1,0,"grhowl",-2,NA,NA,NA
337,1,0,"grhowl",-1,NA,NA,NA
337,1,0,"grhowl",0,0.253874696948671,0.216943274736404,0.266752630472183
337,1,0,"amwpel",-3,NA,NA,NA
337,1,0,"amwpel",-2,NA,NA,NA
337,1,0,"amwpel",-1,NA,NA,NA
337,1,0,"amwpel",0,0,0,0
337,1,0,"baleag",-3,NA,NA,NA
337,1,0,"baleag",-2,NA,NA,NA
337,1,0,"baleag",-1,NA,NA,NA
337,1,0,"baleag",0,0.279404411223273,0.284965957999229,0.334948837757111
337,1,0,"brdowl",-3,NA,NA,NA
337,1,0,"brdowl",-2,NA,NA,NA
337,1,0,"brdowl",-1,NA,NA,NA
337,1,0,"brdowl",0,0,0,0
345,1,0,"mallar3",-3,NA,NA,NA
345,1,0,"mallar3",-2,NA,NA,NA
345,1,0,"mallar3",-1,NA,NA,NA
345,1,0,"mallar3",0,0,0,0
345,1,0,"cangoo",-3,NA,NA,NA
345,1,0,"cangoo",-2,NA,NA,NA
345,1,0,"cangoo",-1,NA,NA,NA
345,1,0,"cangoo",0,0,0,0
345,1,0,"wooduc",-3,NA,NA,NA
345,1,0,"wooduc",-2,NA,NA,NA
345,1,0,"wooduc",-1,NA,NA,NA
345,1,0,"wooduc",0,0,0,0
345,1,0,"buwtea",-3,NA,NA,NA
345,1,0,"buwtea",-2,NA,NA,NA
345,1,0,"buwtea",-1,NA,NA,NA
345,1,0,"buwtea",0,0,0,0
345,1,0,"commer",-3,NA,NA,NA
345,1,0,"commer",-2,NA,NA,NA
345,1,0,"commer",-1,NA,NA,NA
345,1,0,"commer",0,0,0,0
345,1,0,"rinduc",-3,NA,NA,NA
345,1,0,"rinduc",-2,NA,NA,NA
345,1,0,"rinduc",-1,NA,NA,NA
345,1,0,"rinduc",0,0,0,0
345,1,0,"comgol",-3,NA,NA,NA
345,1,0,"comgol",-2,NA,NA,NA
345,1,0,"comgol",-1,NA,NA,NA
345,1,0,"comgol",0,0,0,0
345,1,0,"norsho",-3,NA,NA,NA
345,1,0,"norsho",-2,NA,NA,NA
345,1,0,"norsho",-1,NA,NA,NA
345,1,0,"norsho",0,0,0,0
345,1,0,"buffle",-3,NA,NA,NA
345,1,0,"buffle",-2,NA,NA,NA
345,1,0,"buffle",-1,NA,NA,NA
345,1,0,"buffle",0,0,0,0
345,1,0,"lessca",-3,NA,NA,NA
345,1,0,"lessca",-2,NA,NA,NA
345,1,0,"lessca",-1,NA,NA,NA
345,1,0,"lessca",0,0,0,0
345,1,0,"rebmer",-3,NA,NA,NA
345,1,0,"rebmer",-2,NA,NA,NA
345,1,0,"rebmer",-1,NA,NA,NA
345,1,0,"rebmer",0,0,0,0
345,1,0,"gnwtea",-3,NA,NA,NA
345,1,0,"gnwtea",-2,NA,NA,NA
345,1,0,"gnwtea",-1,NA,NA,NA
345,1,0,"gnwtea",0,0,0,0
345,1,0,"gadwal",-3,NA,NA,NA
345,1,0,"gadwal",-2,NA,NA,NA
345,1,0,"gadwal",-1,NA,NA,NA
345,1,0,"gadwal",0,0,0,0
345,1,0,"ambduc",-3,NA,NA,NA
345,1,0,"ambduc",-2,NA,NA,NA
345,1,0,"ambduc",-1,NA,NA,NA
345,1,0,"ambduc",0,0,0,0
345,1,0,"rudduc",-3,NA,NA,NA
345,1,0,"rudduc",-2,NA,NA,NA
345,1,0,"rudduc",-1,NA,NA,NA
345,1,0,"rudduc",0,0,0,0
345,1,0,"rethaw",-3,NA,NA,NA
345,1,0,"rethaw",-2,NA,NA,NA
345,1,0,"rethaw",-1,NA,NA,NA
345,1,0,"rethaw",0,0.133167554157973,0.148374947840753,0.216902062296867
345,1,0,"truswa",-3,NA,NA,NA
345,1,0,"truswa",-2,NA,NA,NA
345,1,0,"truswa",-1,NA,NA,NA
345,1,0,"truswa",0,0,0,0
345,1,0,"grhowl",-3,NA,NA,NA
345,1,0,"grhowl",-2,NA,NA,NA
345,1,0,"grhowl",-1,NA,NA,NA
345,1,0,"grhowl",0,0.169091698915908,0.201407656721447,0.260429739952087
345,1,0,"amwpel",-3,NA,NA,NA
345,1,0,"amwpel",-2,NA,NA,NA
345,1,0,"amwpel",-1,NA,NA,NA
345,1,0,"amwpel",0,0,0,0
345,1,0,"baleag",-3,NA,NA,NA
345,1,0,"baleag",-2,NA,NA,NA
345,1,0,"baleag",-1,NA,NA,NA
345,1,0,"baleag",0,0,0.0111782576726831,0.25709992647171
345,1,0,"brdowl",-3,NA,NA,NA
345,1,0,"brdowl",-2,NA,NA,NA
345,1,0,"brdowl",-1,NA,NA,NA
345,1,0,"brdowl",0,0,0,0
370,1,0,"mallar3",-3,NA,NA,NA
370,1,0,"mallar3",-2,NA,NA,NA
370,1,0,"mallar3",-1,NA,NA,NA
370,1,0,"mallar3",0,0,0,0
370,1,0,"cangoo",-3,NA,NA,NA
370,1,0,"cangoo",-2,NA,NA,NA
370,1,0,"cangoo",-1,NA,NA,NA
370,1,0,"cangoo",0,25.1133594072784,7.71108253796895,53.9056930541992
370,1,0,"wooduc",-3,NA,NA,NA
370,1,0,"wooduc",-2,NA,NA,NA
370,1,0,"wooduc",-1,NA,NA,NA
370,1,0,"wooduc",0,0,0,0
370,1,0,"buwtea",-3,NA,NA,NA
370,1,0,"buwtea",-2,NA,NA,NA
370,1,0,"buwtea",-1,NA,NA,NA
370,1,0,"buwtea",0,0,0,0
370,1,0,"commer",-3,NA,NA,NA
370,1,0,"commer",-2,NA,NA,NA
370,1,0,"commer",-1,NA,NA,NA
370,1,0,"commer",0,0,0,0
370,1,0,"rinduc",-3,NA,NA,NA
370,1,0,"rinduc",-2,NA,NA,NA
370,1,0,"rinduc",-1,NA,NA,NA
370,1,0,"rinduc",0,0,0,0
370,1,0,"comgol",-3,NA,NA,NA
370,1,0,"comgol",-2,NA,NA,NA
370,1,0,"comgol",-1,NA,NA,NA
370,1,0,"comgol",0,0,0,0
370,1,0,"norsho",-3,NA,NA,NA
370,1,0,"norsho",-2,NA,NA,NA
370,1,0,"norsho",-1,NA,NA,NA
370,1,0,"norsho",0,0,0,0
370,1,0,"buffle",-3,NA,NA,NA
370,1,0,"buffle",-2,NA,NA,NA
370,1,0,"buffle",-1,NA,NA,NA
370,1,0,"buffle",0,0,0,0
370,1,0,"lessca",-3,NA,NA,NA
370,1,0,"lessca",-2,NA,NA,NA
370,1,0,"lessca",-1,NA,NA,NA
370,1,0,"lessca",0,0,0,0
370,1,0,"rebmer",-3,NA,NA,NA
370,1,0,"rebmer",-2,NA,NA,NA
370,1,0,"rebmer",-1,NA,NA,NA
370,1,0,"rebmer",0,0,0,0
370,1,0,"gnwtea",-3,NA,NA,NA
370,1,0,"gnwtea",-2,NA,NA,NA
370,1,0,"gnwtea",-1,NA,NA,NA
370,1,0,"gnwtea",0,0,0,0
370,1,0,"gadwal",-3,NA,NA,NA
370,1,0,"gadwal",-2,NA,NA,NA
370,1,0,"gadwal",-1,NA,NA,NA
370,1,0,"gadwal",0,0,0,0
370,1,0,"ambduc",-3,NA,NA,NA
370,1,0,"ambduc",-2,NA,NA,NA
370,1,0,"ambduc",-1,NA,NA,NA
370,1,0,"ambduc",0,0,0,0
370,1,0,"rudduc",-3,NA,NA,NA
370,1,0,"rudduc",-2,NA,NA,NA
370,1,0,"rudduc",-1,NA,NA,NA
370,1,0,"rudduc",0,0,0,0
370,1,0,"rethaw",-3,NA,NA,NA
370,1,0,"rethaw",-2,NA,NA,NA
370,1,0,"rethaw",-1,NA,NA,NA
370,1,0,"rethaw",0,0.212395493273624,0.190878342216214,0.229703590273857
370,1,0,"truswa",-3,NA,NA,NA
370,1,0,"truswa",-2,NA,NA,NA
370,1,0,"truswa",-1,NA,NA,NA
370,1,0,"truswa",0,0,0,0
370,1,0,"grhowl",-3,NA,NA,NA
370,1,0,"grhowl",-2,NA,NA,NA
370,1,0,"grhowl",-1,NA,NA,NA
370,1,0,"grhowl",0,0.118264431378625,0.142860273830593,0.186856880784035
370,1,0,"amwpel",-3,NA,NA,NA
370,1,0,"amwpel",-2,NA,NA,NA
370,1,0,"amwpel",-1,NA,NA,NA
370,1,0,"amwpel",0,0,0,0
370,1,0,"baleag",-3,NA,NA,NA
370,1,0,"baleag",-2,NA,NA,NA
370,1,0,"baleag",-1,NA,NA,NA
370,1,0,"baleag",0,0.377739507429585,0.287245512008667,0.54216855764389
370,1,0,"brdowl",-3,NA,NA,NA
370,1,0,"brdowl",-2,NA,NA,NA
370,1,0,"brdowl",-1,NA,NA,NA
370,1,0,"brdowl",0,0,0,0
489,1,0,"mallar3",-3,NA,NA,NA
489,1,0,"mallar3",-2,NA,NA,NA
489,1,0,"mallar3",-1,NA,NA,NA
489,1,0,"mallar3",0,0,0,0
489,1,0,"cangoo",-3,NA,NA,NA
489,1,0,"cangoo",-2,NA,NA,NA
489,1,0,"cangoo",-1,NA,NA,NA
489,1,0,"cangoo",0,0,0,0
489,1,0,"wooduc",-3,NA,NA,NA
489,1,0,"wooduc",-2,NA,NA,NA
489,1,0,"wooduc",-1,NA,NA,NA
489,1,0,"wooduc",0,0,0,0
489,1,0,"buwtea",-3,NA,NA,NA
489,1,0,"buwtea",-2,NA,NA,NA
489,1,0,"buwtea",-1,NA,NA,NA
489,1,0,"buwtea",0,0,0,0
489,1,0,"commer",-3,NA,NA,NA
489,1,0,"commer",-2,NA,NA,NA
489,1,0,"commer",-1,NA,NA,NA
489,1,0,"commer",0,0,0,0
489,1,0,"rinduc",-3,NA,NA,NA
489,1,0,"rinduc",-2,NA,NA,NA
489,1,0,"rinduc",-1,NA,NA,NA
489,1,0,"rinduc",0,0,0,0
489,1,0,"comgol",-3,NA,NA,NA
489,1,0,"comgol",-2,NA,NA,NA
489,1,0,"comgol",-1,NA,NA,NA
489,1,0,"comgol",0,0,0,0
489,1,0,"norsho",-3,NA,NA,NA
489,1,0,"norsho",-2,NA,NA,NA
489,1,0,"norsho",-1,NA,NA,NA
489,1,0,"norsho",0,0,0,0
489,1,0,"buffle",-3,NA,NA,NA
489,1,0,"buffle",-2,NA,NA,NA
489,1,0,"buffle",-1,NA,NA,NA
489,1,0,"buffle",0,0,0,0
489,1,0,"lessca",-3,NA,NA,NA
489,1,0,"lessca",-2,NA,NA,NA
489,1,0,"lessca",-1,NA,NA,NA
489,1,0,"lessca",0,0,0,0
489,1,0,"rebmer",-3,NA,NA,NA
489,1,0,"rebmer",-2,NA,NA,NA
489,1,0,"rebmer",-1,NA,NA,NA
489,1,0,"rebmer",0,0,0,0
489,1,0,"gnwtea",-3,NA,NA,NA
489,1,0,"gnwtea",-2,NA,NA,NA
489,1,0,"gnwtea",-1,NA,NA,NA
489,1,0,"gnwtea",0,0,0,0
489,1,0,"gadwal",-3,NA,NA,NA
489,1,0,"gadwal",-2,NA,NA,NA
489,1,0,"gadwal",-1,NA,NA,NA
489,1,0,"gadwal",0,0,0,0
489,1,0,"ambduc",-3,NA,NA,NA
489,1,0,"ambduc",-2,NA,NA,NA
489,1,0,"ambduc",-1,NA,NA,NA
489,1,0,"ambduc",0,0,0,0
489,1,0,"rudduc",-3,NA,NA,NA
489,1,0,"rudduc",-2,NA,NA,NA
489,1,0,"rudduc",-1,NA,NA,NA
489,1,0,"rudduc",0,0,0,0
489,1,0,"rethaw",-3,NA,NA,NA
489,1,0,"rethaw",-2,NA,NA,NA
489,1,0,"rethaw",-1,NA,NA,NA
489,1,0,"rethaw",0,0.278065242320005,0.207505105137825,0.335663944482803
489,1,0,"truswa",-3,NA,NA,NA
489,1,0,"truswa",-2,NA,NA,NA
489,1,0,"truswa",-1,NA,NA,NA
489,1,0,"truswa",0,0,0,0
489,1,0,"grhowl",-3,NA,NA,NA
489,1,0,"grhowl",-2,NA,NA,NA
489,1,0,"grhowl",-1,NA,NA,NA
489,1,0,"grhowl",0,0.18303161650113,0.194524142146111,0.259646058082581
489,1,0,"amwpel",-3,NA,NA,NA
489,1,0,"amwpel",-2,NA,NA,NA
489,1,0,"amwpel",-1,NA,NA,NA
489,1,0,"amwpel",0,0,0,0
489,1,0,"baleag",-3,NA,NA,NA
489,1,0,"baleag",-2,NA,NA,NA
489,1,0,"baleag",-1,NA,NA,NA
489,1,0,"baleag",0,0.531523178595112,0.215789207220077,0.684619724750519
489,1,0,"brdowl",-3,NA,NA,NA
489,1,0,"brdowl",-2,NA,NA,NA
489,1,0,"brdowl",-1,NA,NA,NA
489,1,0,"brdowl",0,0,0,0
502,1,0,"mallar3",-3,NA,NA,NA
502,1,0,"mallar3",-2,NA,NA,NA
502,1,0,"mallar3",-1,NA,NA,NA
502,1,0,"mallar3",0,0,0,0
502,1,0,"cangoo",-3,NA,NA,NA
502,1,0,"cangoo",-2,NA,NA,NA
502,1,0,"cangoo",-1,NA,NA,NA
502,1,0,"cangoo",0,0,0,0
502,1,0,"wooduc",-3,NA,NA,NA
502,1,0,"wooduc",-2,NA,NA,NA
502,1,0,"wooduc",-1,NA,NA,NA
502,1,0,"wooduc",0,0,0,0
502,1,0,"buwtea",-3,NA,NA,NA
502,1,0,"buwtea",-2,NA,NA,NA
502,1,0,"buwtea",-1,NA,NA,NA
502,1,0,"buwtea",0,0,0,0
502,1,0,"commer",-3,NA,NA,NA
502,1,0,"commer",-2,NA,NA,NA
502,1,0,"commer",-1,NA,NA,NA
502,1,0,"commer",0,0,0,0
502,1,0,"rinduc",-3,NA,NA,NA
502,1,0,"rinduc",-2,NA,NA,NA
502,1,0,"rinduc",-1,NA,NA,NA
502,1,0,"rinduc",0,0,0,0
502,1,0,"comgol",-3,NA,NA,NA
502,1,0,"comgol",-2,NA,NA,NA
502,1,0,"comgol",-1,NA,NA,NA
502,1,0,"comgol",0,0,0,0
502,1,0,"norsho",-3,NA,NA,NA
502,1,0,"norsho",-2,NA,NA,NA
502,1,0,"norsho",-1,NA,NA,NA
502,1,0,"norsho",0,0,0,0
502,1,0,"buffle",-3,NA,NA,NA
502,1,0,"buffle",-2,NA,NA,NA
502,1,0,"buffle",-1,NA,NA,NA
502,1,0,"buffle",0,0,0,0
502,1,0,"lessca",-3,NA,NA,NA
502,1,0,"lessca",-2,NA,NA,NA
502,1,0,"lessca",-1,NA,NA,NA
502,1,0,"lessca",0,0,0,0
502,1,0,"rebmer",-3,NA,NA,NA
502,1,0,"rebmer",-2,NA,NA,NA
502,1,0,"rebmer",-1,NA,NA,NA
502,1,0,"rebmer",0,0,0,0
502,1,0,"gnwtea",-3,NA,NA,NA
502,1,0,"gnwtea",-2,NA,NA,NA
502,1,0,"gnwtea",-1,NA,NA,NA
502,1,0,"gnwtea",0,0,0,0
502,1,0,"gadwal",-3,NA,NA,NA
502,1,0,"gadwal",-2,NA,NA,NA
502,1,0,"gadwal",-1,NA,NA,NA
502,1,0,"gadwal",0,0,0,0
502,1,0,"ambduc",-3,NA,NA,NA
502,1,0,"ambduc",-2,NA,NA,NA
502,1,0,"ambduc",-1,NA,NA,NA
502,1,0,"ambduc",0,0,0,0
502,1,0,"rudduc",-3,NA,NA,NA
502,1,0,"rudduc",-2,NA,NA,NA
502,1,0,"rudduc",-1,NA,NA,NA
502,1,0,"rudduc",0,0,0,0
502,1,0,"rethaw",-3,NA,NA,NA
502,1,0,"rethaw",-2,NA,NA,NA
502,1,0,"rethaw",-1,NA,NA,NA
502,1,0,"rethaw",0,0.18170368339007,0.182217411372973,0.21704326570034
502,1,0,"truswa",-3,NA,NA,NA
502,1,0,"truswa",-2,NA,NA,NA
502,1,0,"truswa",-1,NA,NA,NA
502,1,0,"truswa",0,0,0,0
502,1,0,"grhowl",-3,NA,NA,NA
502,1,0,"grhowl",-2,NA,NA,NA
502,1,0,"grhowl",-1,NA,NA,NA
502,1,0,"grhowl",0,0.155257307897202,0.155751842519511,0.180534854531288
502,1,0,"amwpel",-3,NA,NA,NA
502,1,0,"amwpel",-2,NA,NA,NA
502,1,0,"amwpel",-1,NA,NA,NA
502,1,0,"amwpel",0,0,0,0
502,1,0,"baleag",-3,NA,NA,NA
502,1,0,"baleag",-2,NA,NA,NA
502,1,0,"baleag",-1,NA,NA,NA
502,1,0,"baleag",0,0.222691128158734,0.237285893248475,0.339360773563385
502,1,0,"brdowl",-3,NA,NA,NA
502,1,0,"brdowl",-2,NA,NA,NA
502,1,0,"brdowl",-1,NA,NA,NA
502,1,0,"brdowl",0,0,0,0
1254,1,0,"mallar3",-3,NA,NA,NA
1254,1,0,"mallar3",-2,NA,NA,NA
1254,1,0,"mallar3",-1,NA,NA,NA
1254,1,0,"mallar3",0,0,0,0
1254,1,0,"cangoo",-3,NA,NA,NA
1254,1,0,"cangoo",-2,NA,NA,NA
1254,1,0,"cangoo",-1,NA,NA,NA
1254,1,0,"cangoo",0,0,0,0
1254,1,0,"wooduc",-3,NA,NA,NA
1254,1,0,"wooduc",-2,NA,NA,NA
1254,1,0,"wooduc",-1,NA,NA,NA
