outbreak_id,premises,state,state_name,flyway,herd_flock_type,production_type,link,lon,lat,week_id,iso_year,iso_week,week_start,case_week_start,is_case_week,lag_weeks_from_case
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W28,2022,28,2022-07-11,2022-08-01,0,-3
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W29,2022,29,2022-07-18,2022-08-01,0,-2
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W30,2022,30,2022-07-25,2022-08-01,0,-1
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W31,2022,31,2022-08-01,2022-08-01,1,0
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W32,2022,32,2022-08-08,2022-08-01,0,1
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W33,2022,33,2022-08-15,2022-08-01,0,2
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W34,2022,34,2022-08-22,2022-08-01,0,3
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W35,2022,35,2022-08-29,2022-08-01,0,4
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W36,2022,36,2022-09-05,2022-08-01,0,5
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W37,2022,37,2022-09-12,2022-08-01,0,6
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W38,2022,38,2022-09-19,2022-08-01,0,7
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W39,2022,39,2022-09-26,2022-08-01,0,8
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W40,2022,40,2022-10-03,2022-08-01,0,9
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W41,2022,41,2022-10-10,2022-08-01,0,10
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W42,2022,42,2022-10-17,2022-08-01,0,11
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W43,2022,43,2022-10-24,2022-08-01,0,12
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W44,2022,44,2022-10-31,2022-08-01,0,13
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W45,2022,45,2022-11-07,2022-08-01,0,14
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W46,2022,46,2022-11-14,2022-08-01,0,15
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W47,2022,47,2022-11-21,2022-08-01,0,16
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W48,2022,48,2022-11-28,2022-08-01,0,17
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W49,2022,49,2022-12-05,2022-08-01,0,18
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W50,2022,50,2022-12-12,2022-08-01,0,19
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W51,2022,51,2022-12-19,2022-08-01,0,20
1,Bethel 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-159.52421,61.5783,2022-W52,2022,52,2022-12-26,2022-08-01,0,21
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2021-W46,2021,46,2021-11-15,2022-04-25,0,-23
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2021-W47,2021,47,2021-11-22,2022-04-25,0,-22
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2021-W48,2021,48,2021-11-29,2022-04-25,0,-21
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2021-W49,2021,49,2021-12-06,2022-04-25,0,-20
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2021-W50,2021,50,2021-12-13,2022-04-25,0,-19
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2021-W51,2021,51,2021-12-20,2022-04-25,0,-18
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2021-W52,2021,52,2021-12-27,2022-04-25,0,-17
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W01,2022,1,2022-01-03,2022-04-25,0,-16
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W02,2022,2,2022-01-10,2022-04-25,0,-15
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W03,2022,3,2022-01-17,2022-04-25,0,-14
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W04,2022,4,2022-01-24,2022-04-25,0,-13
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W05,2022,5,2022-01-31,2022-04-25,0,-12
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W06,2022,6,2022-02-07,2022-04-25,0,-11
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W07,2022,7,2022-02-14,2022-04-25,0,-10
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W08,2022,8,2022-02-21,2022-04-25,0,-9
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W09,2022,9,2022-02-28,2022-04-25,0,-8
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W10,2022,10,2022-03-07,2022-04-25,0,-7
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W11,2022,11,2022-03-14,2022-04-25,0,-6
