parameterisation,panel,exposure,window,spring,outside,ratio,p_interaction
Absolute conditions,Pooled,Wind speed,0-7 days,"1.22 (0.95, 1.56)","0.83 (0.63, 1.11)","1.46 (1.00, 2.12)",0.051
Absolute conditions,Pooled,Wind speed,8-14 days,"1.16 (0.98, 1.38)","0.90 (0.75, 1.08)","1.29 (1.00, 1.66)",0.047
Absolute conditions,Pooled,Wind speed,15-21 days,"1.14 (0.95, 1.36)","0.95 (0.79, 1.14)","1.20 (0.93, 1.55)",0.164
Absolute conditions,Pooled,Wind speed,22-28 days,"1.11 (0.89, 1.40)","1.00 (0.77, 1.28)","1.12 (0.80, 1.57)",0.516
Absolute conditions,Pooled,Runoff,0-7 days,"0.94 (0.66, 1.34)","1.09 (0.73, 1.63)","0.86 (0.51, 1.46)",0.582
Absolute conditions,Pooled,Runoff,8-14 days,"1.01 (0.81, 1.25)","1.04 (0.80, 1.34)","0.97 (0.69, 1.36)",0.852
Absolute conditions,Pooled,Runoff,15-21 days,"1.06 (0.87, 1.30)","1.00 (0.77, 1.31)","1.06 (0.76, 1.48)",0.727
Absolute conditions,Pooled,Runoff,22-28 days,"1.12 (0.86, 1.46)","0.96 (0.67, 1.38)","1.16 (0.74, 1.82)",0.509
Absolute conditions,Pooled,Anseriformes,0-7 days,"1.02 (0.79, 1.30)","1.09 (0.76, 1.57)","0.93 (0.60, 1.44)",0.748
Absolute conditions,Pooled,Anseriformes,8-14 days,"1.16 (1.02, 1.32)","1.03 (0.85, 1.26)","1.12 (0.89, 1.42)",0.332
Absolute conditions,Pooled,Anseriformes,15-21 days,"1.32 (1.14, 1.51)","0.99 (0.77, 1.27)","1.33 (1.00, 1.77)",0.051
Absolute conditions,Pooled,Anseriformes,22-28 days,"1.49 (1.19, 1.87)","0.95 (0.63, 1.42)","1.57 (0.99, 2.49)",0.056
90-day rolling anomaly,Minnesota,Temperature,0-7 days,"1.41 (0.93, 2.14)","1.08 (0.51, 2.29)","1.30 (0.55, 3.07)",0.547
90-day rolling anomaly,Minnesota,Temperature,8-14 days,"1.26 (0.98, 1.62)","1.06 (0.66, 1.69)","1.19 (0.70, 2.03)",0.518
90-day rolling anomaly,Minnesota,Temperature,15-21 days,"1.18 (0.93, 1.50)","1.04 (0.65, 1.67)","1.13 (0.67, 1.92)",0.643
90-day rolling anomaly,Minnesota,Temperature,22-28 days,"1.10 (0.80, 1.53)","1.03 (0.54, 1.95)","1.08 (0.52, 2.22)",0.84
90-day rolling anomaly,Minnesota,Precipitation,0-7 days,"0.88 (0.68, 1.14)","1.01 (0.73, 1.39)","0.87 (0.58, 1.31)",0.511
90-day rolling anomaly,Minnesota,Precipitation,8-14 days,"0.92 (0.79, 1.07)","0.97 (0.78, 1.22)","0.94 (0.72, 1.23)",0.656
90-day rolling anomaly,Minnesota,Precipitation,15-21 days,"0.94 (0.82, 1.08)","0.94 (0.75, 1.19)","0.99 (0.76, 1.30)",0.959
90-day rolling anomaly,Minnesota,Precipitation,22-28 days,"0.96 (0.80, 1.15)","0.91 (0.68, 1.22)","1.05 (0.74, 1.48)",0.788
90-day rolling anomaly,Minnesota,Soil moisture,0-7 days,"0.95 (0.70, 1.28)","0.82 (0.63, 1.06)","1.15 (0.78, 1.71)",0.477
90-day rolling anomaly,Minnesota,Soil moisture,8-14 days,"0.95 (0.79, 1.13)","0.87 (0.73, 1.03)","1.09 (0.85, 1.40)",0.483
90-day rolling anomaly,Minnesota,Soil moisture,15-21 days,"0.94 (0.80, 1.11)","0.89 (0.74, 1.08)","1.06 (0.82, 1.35)",0.67
90-day rolling anomaly,Minnesota,Soil moisture,22-28 days,"0.94 (0.75, 1.17)","0.92 (0.71, 1.19)","1.02 (0.73, 1.43)",0.911
90-day rolling anomaly,Minnesota,Wind speed,0-7 days,"1.10 (0.90, 1.36)","0.89 (0.68, 1.17)","1.24 (0.88, 1.75)",0.218
90-day rolling anomaly,Minnesota,Wind speed,8-14 days,"1.07 (0.94, 1.22)","0.94 (0.79, 1.11)","1.14 (0.92, 1.42)",0.23
90-day rolling anomaly,Minnesota,Wind speed,15-21 days,"1.05 (0.92, 1.21)","0.97 (0.82, 1.15)","1.08 (0.87, 1.35)",0.473
90-day rolling anomaly,Minnesota,Wind speed,22-28 days,"1.04 (0.86, 1.25)","1.01 (0.80, 1.27)","1.03 (0.76, 1.38)",0.857
