parameterisation,panel,exposure,window,spring,outside,ratio,p_interaction
Absolute conditions,Minnesota,Temperature,0-7 days,"1.23 (0.80, 1.91)","1.12 (0.73, 1.72)","1.10 (0.60, 2.03)",0.752
Absolute conditions,Minnesota,Temperature,8-14 days,"1.12 (0.88, 1.42)","0.96 (0.76, 1.21)","1.16 (0.83, 1.62)",0.379
Absolute conditions,Minnesota,Temperature,15-21 days,"1.04 (0.78, 1.39)","0.84 (0.63, 1.13)","1.23 (0.82, 1.86)",0.318
Absolute conditions,Minnesota,Temperature,22-28 days,"0.97 (0.61, 1.54)","0.74 (0.46, 1.20)","1.31 (0.67, 2.54)",0.425
Absolute conditions,Minnesota,Soil moisture,0-7 days,"0.92 (0.53, 1.60)","0.93 (0.51, 1.72)","0.99 (0.44, 2.25)",0.98
Absolute conditions,Minnesota,Soil moisture,8-14 days,"0.83 (0.59, 1.16)","0.96 (0.63, 1.45)","0.86 (0.50, 1.47)",0.584
Absolute conditions,Minnesota,Soil moisture,15-21 days,"0.74 (0.53, 1.01)","0.97 (0.62, 1.52)","0.76 (0.44, 1.31)",0.315
Absolute conditions,Minnesota,Soil moisture,22-28 days,"0.66 (0.43, 1.00)","0.99 (0.55, 1.79)","0.66 (0.32, 1.38)",0.269
Absolute conditions,Minnesota,Runoff,0-7 days,"0.95 (0.66, 1.38)","1.02 (0.67, 1.54)","0.94 (0.54, 1.63)",0.814
Absolute conditions,Minnesota,Runoff,8-14 days,"1.00 (0.79, 1.25)","1.01 (0.77, 1.32)","0.98 (0.69, 1.40)",0.927
Absolute conditions,Minnesota,Runoff,15-21 days,"1.03 (0.83, 1.29)","1.01 (0.77, 1.33)","1.02 (0.72, 1.46)",0.9
Absolute conditions,Minnesota,Runoff,22-28 days,"1.07 (0.80, 1.43)","1.00 (0.69, 1.45)","1.06 (0.66, 1.71)",0.798
Absolute conditions,Minnesota,Wind speed,0-7 days,"1.01 (0.76, 1.33)","0.83 (0.60, 1.15)","1.22 (0.79, 1.87)",0.369
Absolute conditions,Minnesota,Wind speed,8-14 days,"1.04 (0.86, 1.26)","0.90 (0.73, 1.10)","1.16 (0.88, 1.54)",0.291
Absolute conditions,Minnesota,Wind speed,15-21 days,"1.08 (0.89, 1.32)","0.95 (0.77, 1.16)","1.14 (0.86, 1.52)",0.37
Absolute conditions,Minnesota,Wind speed,22-28 days,"1.12 (0.86, 1.45)","1.00 (0.76, 1.33)","1.12 (0.76, 1.64)",0.57
Absolute conditions,Minnesota,Anseriformes,0-7 days,"0.98 (0.63, 1.54)","0.97 (0.47, 2.01)","1.02 (0.43, 2.40)",0.973
Absolute conditions,Minnesota,Anseriformes,8-14 days,"1.32 (1.08, 1.62)","1.17 (0.81, 1.69)","1.13 (0.74, 1.72)",0.569
Absolute conditions,Minnesota,Anseriformes,15-21 days,"1.74 (1.32, 2.30)","1.39 (0.93, 2.09)","1.25 (0.77, 2.05)",0.371
Absolute conditions,Minnesota,Anseriformes,22-28 days,"2.29 (1.39, 3.79)","1.65 (0.84, 3.27)","1.39 (0.59, 3.24)",0.45
Absolute conditions,Pooled,Temperature,0-7 days,"1.03 (0.75, 1.39)","1.04 (0.77, 1.41)","0.98 (0.64, 1.52)",0.941
Absolute conditions,Pooled,Temperature,8-14 days,"1.01 (0.84, 1.20)","0.97 (0.82, 1.15)","1.04 (0.81, 1.32)",0.784
Absolute conditions,Pooled,Temperature,15-21 days,"1.00 (0.79, 1.25)","0.92 (0.75, 1.13)","1.08 (0.79, 1.48)",0.615
Absolute conditions,Pooled,Temperature,22-28 days,"0.98 (0.68, 1.42)","0.87 (0.62, 1.21)","1.13 (0.69, 1.85)",0.618
Absolute conditions,Pooled,Soil moisture,0-7 days,"0.99 (0.63, 1.54)","1.01 (0.64, 1.60)","0.98 (0.52, 1.85)",0.943
Absolute conditions,Pooled,Soil moisture,8-14 days,"0.86 (0.65, 1.14)","0.97 (0.73, 1.30)","0.89 (0.59, 1.33)",0.569
