parameterisation,panel,exposure,window,spring,outside,ratio,p_interaction
Absolute conditions,Pooled,Soil moisture,15-21 days,"0.76 (0.58, 1.00)","0.94 (0.69, 1.28)","0.81 (0.54, 1.23)",0.329
Absolute conditions,Pooled,Soil moisture,22-28 days,"0.67 (0.46, 0.98)","0.90 (0.59, 1.40)","0.74 (0.42, 1.32)",0.31
Absolute conditions,Pooled,Runoff,0-7 days,"0.92 (0.65, 1.30)","1.03 (0.69, 1.53)","0.89 (0.53, 1.52)",0.674
Absolute conditions,Pooled,Runoff,8-14 days,"1.00 (0.81, 1.25)","1.00 (0.77, 1.29)","1.01 (0.72, 1.41)",0.975
Absolute conditions,Pooled,Runoff,15-21 days,"1.08 (0.89, 1.33)","0.98 (0.75, 1.27)","1.11 (0.79, 1.55)",0.544
Absolute conditions,Pooled,Runoff,22-28 days,"1.17 (0.90, 1.52)","0.95 (0.67, 1.37)","1.22 (0.78, 1.91)",0.375
Absolute conditions,Pooled,Wind speed,0-7 days,"1.19 (0.93, 1.52)","0.78 (0.59, 1.04)","1.52 (1.04, 2.22)",0.031
Absolute conditions,Pooled,Wind speed,8-14 days,"1.17 (0.98, 1.39)","0.88 (0.73, 1.05)","1.33 (1.03, 1.71)",0.026
Absolute conditions,Pooled,Wind speed,15-21 days,"1.17 (0.98, 1.40)","0.95 (0.79, 1.14)","1.23 (0.95, 1.60)",0.112
Absolute conditions,Pooled,Wind speed,22-28 days,"1.17 (0.93, 1.47)","1.02 (0.79, 1.32)","1.14 (0.81, 1.61)",0.442
Absolute conditions,Pooled,Anseriformes,0-7 days,"0.74 (0.53, 1.05)","1.03 (0.71, 1.50)","0.72 (0.43, 1.20)",0.204
Absolute conditions,Pooled,Anseriformes,8-14 days,"1.16 (0.99, 1.36)","1.03 (0.84, 1.26)","1.13 (0.88, 1.46)",0.338
Absolute conditions,Pooled,Anseriformes,15-21 days,"1.71 (1.40, 2.09)","1.03 (0.79, 1.33)","1.66 (1.20, 2.31)",0.003
Absolute conditions,Pooled,Anseriformes,22-28 days,"2.51 (1.74, 3.60)","1.02 (0.67, 1.57)","2.44 (1.39, 4.29)",0.002
90-day rolling anomaly,Minnesota,Temperature,0-7 days,"1.42 (0.95, 2.12)","1.08 (0.51, 2.29)","1.32 (0.56, 3.10)",0.529
90-day rolling anomaly,Minnesota,Temperature,8-14 days,"1.22 (0.95, 1.57)","1.06 (0.66, 1.70)","1.15 (0.67, 1.97)",0.607
90-day rolling anomaly,Minnesota,Temperature,15-21 days,"1.10 (0.87, 1.40)","1.05 (0.65, 1.70)","1.05 (0.61, 1.79)",0.864
90-day rolling anomaly,Minnesota,Temperature,22-28 days,"1.00 (0.72, 1.38)","1.05 (0.54, 2.01)","0.95 (0.46, 1.98)",0.899
90-day rolling anomaly,Minnesota,Soil moisture,0-7 days,"0.96 (0.72, 1.28)","0.81 (0.63, 1.03)","1.19 (0.81, 1.73)",0.372
90-day rolling anomaly,Minnesota,Soil moisture,8-14 days,"0.93 (0.78, 1.11)","0.86 (0.73, 1.01)","1.09 (0.86, 1.38)",0.492
90-day rolling anomaly,Minnesota,Soil moisture,15-21 days,"0.90 (0.78, 1.05)","0.88 (0.73, 1.07)","1.02 (0.80, 1.30)",0.863
90-day rolling anomaly,Minnesota,Soil moisture,22-28 days,"0.88 (0.72, 1.07)","0.91 (0.70, 1.19)","0.96 (0.69, 1.33)",0.806
90-day rolling anomaly,Minnesota,Runoff,0-7 days,"0.93 (0.71, 1.22)","1.03 (0.74, 1.44)","0.90 (0.59, 1.39)",0.642
90-day rolling anomaly,Minnesota,Runoff,8-14 days,"0.97 (0.82, 1.16)","0.99 (0.80, 1.23)","0.99 (0.75, 1.30)",0.919
90-day rolling anomaly,Minnesota,Runoff,15-21 days,"1.01 (0.83, 1.21)","0.95 (0.77, 1.18)","1.06 (0.80, 1.40)",0.704
90-day rolling anomaly,Minnesota,Runoff,22-28 days,"1.04 (0.80, 1.34)","0.92 (0.70, 1.21)","1.13 (0.78, 1.65)",0.517
90-day rolling anomaly,Minnesota,Wind speed,0-7 days,"1.09 (0.90, 1.33)","0.89 (0.68, 1.17)","1.22 (0.87, 1.72)",0.239
90-day rolling anomaly,Minnesota,Wind speed,8-14 days,"1.06 (0.93, 1.21)","0.94 (0.79, 1.11)","1.13 (0.91, 1.40)",0.266
90-day rolling anomaly,Minnesota,Wind speed,15-21 days,"1.04 (0.91, 1.20)","0.97 (0.82, 1.16)","1.07 (0.86, 1.34)",0.536
90-day rolling anomaly,Minnesota,Wind speed,22-28 days,"1.03 (0.85, 1.24)","1.01 (0.80, 1.27)","1.02 (0.75, 1.38)",0.906
90-day rolling anomaly,Minnesota,Anseriformes,0-7 days,"0.91 (0.55, 1.52)","0.81 (0.36, 1.81)","1.13 (0.43, 2.95)",0.802
90-day rolling anomaly,Minnesota,Anseriformes,8-14 days,"1.24 (1.00, 1.53)","1.17 (0.79, 1.72)","1.06 (0.68, 1.66)",0.792
90-day rolling anomaly,Minnesota,Anseriformes,15-21 days,"1.63 (1.25, 2.12)","1.60 (1.03, 2.49)","1.02 (0.61, 1.70)",0.954
90-day rolling anomaly,Minnesota,Anseriformes,22-28 days,"2.14 (1.29, 3.56)","2.21 (1.02, 4.76)","0.97 (0.39, 2.44)",0.95
90-day rolling anomaly,Pooled,Temperature,0-7 days,"1.34 (0.95, 1.89)","1.00 (0.48, 2.09)","1.35 (0.60, 3.05)",0.47
90-day rolling anomaly,Pooled,Temperature,8-14 days,"1.17 (0.94, 1.45)","1.08 (0.69, 1.70)","1.08 (0.66, 1.78)",0.762
90-day rolling anomaly,Pooled,Temperature,15-21 days,"1.06 (0.86, 1.31)","1.17 (0.75, 1.81)","0.91 (0.56, 1.48)",0.697
90-day rolling anomaly,Pooled,Temperature,22-28 days,"0.96 (0.73, 1.27)","1.26 (0.69, 2.30)","0.76 (0.39, 1.48)",0.426
90-day rolling anomaly,Pooled,Soil moisture,0-7 days,"0.94 (0.74, 1.18)","0.79 (0.66, 0.95)","1.19 (0.89, 1.60)",0.249
90-day rolling anomaly,Pooled,Soil moisture,8-14 days,"0.92 (0.80, 1.06)","0.85 (0.75, 0.96)","1.09 (0.90, 1.31)",0.381
90-day rolling anomaly,Pooled,Soil moisture,15-21 days,"0.90 (0.79, 1.03)","0.89 (0.78, 1.01)","1.02 (0.84, 1.23)",0.845
90-day rolling anomaly,Pooled,Soil moisture,22-28 days,"0.88 (0.74, 1.06)","0.92 (0.77, 1.11)","0.96 (0.74, 1.24)",0.732
90-day rolling anomaly,Pooled,Runoff,0-7 days,"0.90 (0.73, 1.11)","1.00 (0.77, 1.30)","0.90 (0.64, 1.25)",0.526
90-day rolling anomaly,Pooled,Runoff,8-14 days,"0.98 (0.85, 1.12)","0.95 (0.80, 1.12)","1.03 (0.83, 1.28)",0.779
90-day rolling anomaly,Pooled,Runoff,15-21 days,"1.04 (0.91, 1.20)","0.90 (0.76, 1.06)","1.16 (0.93, 1.44)",0.179
90-day rolling anomaly,Pooled,Runoff,22-28 days,"1.12 (0.93, 1.34)","0.86 (0.68, 1.07)","1.30 (0.98, 1.74)",0.07
90-day rolling anomaly,Pooled,Wind speed,0-7 days,"1.22 (1.03, 1.45)","0.87 (0.69, 1.10)","1.40 (1.05, 1.87)",0.021
90-day rolling anomaly,Pooled,Wind speed,8-14 days,"1.10 (0.98, 1.24)","0.93 (0.81, 1.06)","1.19 (0.99, 1.42)",0.067
90-day rolling anomaly,Pooled,Wind speed,15-21 days,"1.02 (0.90, 1.16)","0.97 (0.84, 1.11)","1.05 (0.88, 1.27)",0.573
90-day rolling anomaly,Pooled,Wind speed,22-28 days,"0.95 (0.81, 1.11)","1.01 (0.83, 1.23)","0.94 (0.73, 1.21)",0.621
90-day rolling anomaly,Pooled,Anseriformes,0-7 days,"0.76 (0.52, 1.09)","0.99 (0.66, 1.48)","0.76 (0.44, 1.32)",0.331
90-day rolling anomaly,Pooled,Anseriformes,8-14 days,"1.16 (0.99, 1.35)","1.09 (0.87, 1.35)","1.07 (0.82, 1.40)",0.635
90-day rolling anomaly,Pooled,Anseriformes,15-21 days,"1.67 (1.37, 2.03)","1.18 (0.89, 1.56)","1.41 (1.00, 1.99)",0.047
90-day rolling anomaly,Pooled,Anseriformes,22-28 days,"2.41 (1.66, 3.49)","1.28 (0.81, 2.02)","1.88 (1.04, 3.38)",0.036
25-year climatological anomaly,Minnesota,Temperature,0-7 days,"1.22 (0.98, 1.52)","1.29 (0.96, 1.72)","0.95 (0.66, 1.36)",0.767
25-year climatological anomaly,Minnesota,Temperature,8-14 days,"1.10 (0.95, 1.26)","1.15 (0.94, 1.42)","0.95 (0.74, 1.22)",0.677
25-year climatological anomaly,Minnesota,Temperature,15-21 days,"1.01 (0.86, 1.20)","1.07 (0.88, 1.32)","0.94 (0.73, 1.23)",0.668
25-year climatological anomaly,Minnesota,Temperature,22-28 days,"0.94 (0.74, 1.20)","1.00 (0.78, 1.28)","0.94 (0.66, 1.33)",0.725
25-year climatological anomaly,Minnesota,Soil moisture,0-7 days,"1.12 (0.70, 1.77)","0.79 (0.44, 1.41)","1.41 (0.67, 2.95)",0.361
25-year climatological anomaly,Minnesota,Soil moisture,8-14 days,"0.99 (0.75, 1.30)","0.87 (0.59, 1.27)","1.13 (0.71, 1.82)",0.601
25-year climatological anomaly,Minnesota,Soil moisture,15-21 days,"0.89 (0.70, 1.13)","0.92 (0.60, 1.42)","0.96 (0.59, 1.58)",0.881
25-year climatological anomaly,Minnesota,Soil moisture,22-28 days,"0.80 (0.59, 1.09)","0.98 (0.54, 1.79)","0.82 (0.41, 1.61)",0.561
25-year climatological anomaly,Minnesota,Runoff,0-7 days,"0.85 (0.54, 1.32)","1.11 (0.64, 1.94)","0.76 (0.37, 1.55)",0.449
25-year climatological anomaly,Minnesota,Runoff,8-14 days,"0.93 (0.70, 1.22)","1.01 (0.70, 1.46)","0.91 (0.58, 1.44)",0.695
25-year climatological anomaly,Minnesota,Runoff,15-21 days,"0.99 (0.76, 1.28)","0.94 (0.65, 1.35)","1.05 (0.67, 1.64)",0.838
25-year climatological anomaly,Minnesota,Runoff,22-28 days,"1.05 (0.75, 1.48)","0.87 (0.54, 1.40)","1.20 (0.67, 2.16)",0.534
25-year climatological anomaly,Minnesota,Wind speed,0-7 days,"1.20 (0.93, 1.55)","0.99 (0.63, 1.57)","1.20 (0.72, 2.03)",0.483
25-year climatological anomaly,Minnesota,Wind speed,8-14 days,"1.10 (0.93, 1.31)","0.97 (0.72, 1.30)","1.14 (0.81, 1.61)",0.46
25-year climatological anomaly,Minnesota,Wind speed,15-21 days,"1.04 (0.86, 1.25)","0.94 (0.68, 1.29)","1.10 (0.77, 1.59)",0.596
25-year climatological anomaly,Minnesota,Wind speed,22-28 days,"0.98 (0.76, 1.25)","0.91 (0.60, 1.40)","1.07 (0.65, 1.75)",0.786
25-year climatological anomaly,Minnesota,Anseriformes,0-7 days,"0.83 (0.50, 1.38)","0.92 (0.38, 2.23)","0.90 (0.32, 2.47)",0.831
25-year climatological anomaly,Minnesota,Anseriformes,8-14 days,"1.16 (0.92, 1.47)","1.24 (0.80, 1.91)","0.94 (0.57, 1.54)",0.8
25-year climatological anomaly,Minnesota,Anseriformes,15-21 days,"1.56 (1.18, 2.05)","1.61 (1.00, 2.59)","0.97 (0.56, 1.68)",0.907
25-year climatological anomaly,Minnesota,Anseriformes,22-28 days,"2.09 (1.27, 3.43)","2.09 (0.92, 4.74)","1.00 (0.38, 2.60)",0.997
